"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "FLUX_MEASUREMENTS_METHOD", "FLUX_MEASUREMENTS_VARIABLE", "FLUX_MEASUREMENTS_DATE_START", "FLUX_MEASUREMENTS_DATE_END", "FLUX_MEASUREMENTS_OPERATIONS", "FLUX_MEASUREMENTS_COMMENT", 
"US-WPT", "12756", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20110101", "20131231", "Continuous operation", , 
"US-WPT", "12761", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20110101", "20131231", "Continuous operation", , 
"US-WPT", "12762", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "20110311", "20131231", "Continuous operation", , 
"US-Wrc", "29998", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1998", "2016", "Continuous operation", , 
"US-Wwt", "16039", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20140623", , "Continuous operation", , 
"US-Wwt", "16053", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20140623", , "Continuous operation", , 
"US-Wwt", "16055", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "20140623", , "Continuous operation", , 
"US-xAB", "85347", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170428", , "Continuous operation", , 
"US-xAB", "85348", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170428", , "Continuous operation", , 
"US-xAE", "86245", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170922", , "Continuous operation", , 
"US-xAE", "86248", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170922", , "Continuous operation", , 
"US-xAE", "86249", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170922", , "Continuous operation", , 
"US-xBA", "85231", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170421", , "Continuous operation", , 
"US-xBA", "85235", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170421", , "Continuous operation", , 
"US-xBA", "85238", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170421", , "Continuous operation", , 
"US-xBL", "85321", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20160908", , "Continuous operation", , 
"US-xBL", "85334", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20160908", , "Continuous operation", , 
"US-xBL", "85335", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20160908", , "Continuous operation", , 
"US-xBN", "85536", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20171110", , "Continuous operation", , 
"US-xBN", "85543", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20171110", , "Continuous operation", , 
"US-xBN", "85546", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20171110", , "Continuous operation", , 
"US-xBR", "79806", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20161206", , "Continuous operation", , 
"US-xBR", "79807", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20161206", , "Continuous operation", , 
"US-xCL", "79488", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20170919", , "Continuous operation", , 
"US-xCL", "79497", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170919", , "Continuous operation", , 
"US-xCL", "79499", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20170919", , "Continuous operation", , 
"US-xCP", "30460", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20160803", , "Continuous operation", , 
"US-xCP", "30461", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20160803", , "Continuous operation", , 
"US-xCP", "30462", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20160803", , "Continuous operation", , 
"US-xDC", "85578", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170906", , "Continuous operation", , 
"US-xDC", "85586", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170906", , "Continuous operation", , 
"US-xDC", "85590", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170906", , "Continuous operation", , 
"US-xDJ", "85554", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170307", , "Continuous operation", , 
"US-xDJ", "85560", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170307", , "Continuous operation", , 
"US-xDJ", "85564", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170307", , "Continuous operation", , 
"US-xDL", "85517", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170224", , "Continuous operation", , 
"US-xDL", "85519", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170224", , "Continuous operation", , 
"US-xDL", "85523", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170224", , "Continuous operation", , 
"US-xDS", "85488", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170221", , "Continuous operation", , 
"US-xDS", "85500", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170221", , "Continuous operation", , 
"US-xDS", "85504", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170221", , "Continuous operation", , 
"US-xGR", "85471", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20171019", , "Continuous operation", , 
"US-xGR", "85483", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20171019", , "Continuous operation", , 
"US-xGR", "85486", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20171019", , "Continuous operation", , 
"US-xHA", "79789", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20170308", , "Continuous operation", , 
"US-xHA", "79791", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170308", , "Continuous operation", , 
"US-xHA", "79796", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20170308", , "Continuous operation", , 
"US-xHE", "85451", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170815", , "Continuous operation", , 
"US-xHE", "85453", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170815", , "Continuous operation", , 
"US-xHE", "85465", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170815", , "Continuous operation", , 
"US-xJE", "81949", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20170113", , "Continuous operation", , 
"US-xJE", "81951", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20170113", , "Continuous operation", , 
"US-xJR", "85427", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170911", , "Continuous operation", , 
"US-xJR", "85433", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170911", , "Continuous operation", , 
"US-xJR", "85444", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170911", , "Continuous operation", , 
"US-xKA", "85406", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170818", , "Continuous operation", , 
"US-xKA", "85417", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170818", , "Continuous operation", , 
"US-xKA", "85419", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170818", , "Continuous operation", , 
"US-xKZ", "79314", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170825", , "Continuous operation", , 
"US-xKZ", "79315", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170825", , "Continuous operation", , 
"US-xKZ", "79316", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170825", , "Continuous operation", , 
"US-xLE", "85387", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170828", , "Continuous operation", , 
"US-xLE", "85392", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170828", , "Continuous operation", , 
"US-xLE", "85397", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170828", , "Continuous operation", , 
"US-xMB", "86049", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170815", , "Continuous operation", , 
"US-xMB", "86053", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "Isotopes", "20170815", , "Continuous operation", , 
"US-xMB", "86057", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170815", , "Continuous operation", , 
"US-xML", "85362", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170918", , "Continuous operation", , 
"US-xML", "85364", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170918", , "Continuous operation", , 
"US-xML", "85376", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170918", , "Continuous operation", , 
"US-xNG", "81936", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20170728", , "Continuous operation", , 
"US-xNG", "81940", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20170728", , "Continuous operation", , 
"US-xNQ", "81903", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20170412", , "Continuous operation", , 
"US-xNQ", "81904", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170412", , "Continuous operation", , 
"US-xNQ", "81911", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20170412", , "Continuous operation", , 
"US-xNW", "83368", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170417", , "Continuous operation", , 
"US-xNW", "83369", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20170417", , "Continuous operation", , 
"US-xNW", "83373", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20170417", , "Continuous operation", , 
"US-xPU", "86068", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "2019", , "Continuous operation", , 
"US-xPU", "86069", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2019", , "Continuous operation", , 
"US-xPU", "86070", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "2019", , "Continuous operation", , 
"US-xRM", "86146", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170207", , "Continuous operation", , 
"US-xRM", "86147", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170207", , "Continuous operation", , 
"US-xRM", "86155", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170207", , "Continuous operation", , 
"US-xRN", "86169", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170216", , "Continuous operation", , 
"US-xRN", "86176", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170216", , "Continuous operation", , 
"US-xRN", "86180", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170216", , "Continuous operation", , 
"US-xSB", "79719", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20160928", , "Continuous operation", , 
"US-xSB", "79728", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20160928", , "Continuous operation", , 
"US-xSB", "79729", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20160928", , "Continuous operation", , 
"US-xSC", "87139", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20160713", , "Continuous operation", , 
"US-xSC", "87140", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20160713", , "Continuous operation", , 
"US-xSC", "87166", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20160713", , "Continuous operation", , 
"US-xSE", "81892", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20160216", , "Continuous operation", , 
"US-xSE", "81894", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20160216", , "Continuous operation", , 
"US-xSJ", "86327", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20181002", , "Continuous operation", , 
"US-xSJ", "86329", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20181002", , "Continuous operation", , 
"US-xSJ", "86330", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20181002", , "Continuous operation", , 
"US-xSL", "87094", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170725", , "Continuous operation", , 
"US-xSL", "87095", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170725", , "Continuous operation", , 
"US-xSL", "87096", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170725", , "Continuous operation", , 
"US-xSP", "86383", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170919", , "Continuous operation", , 
"US-xSP", "86386", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170919", , "Continuous operation", , 
"US-xSP", "86399", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170919", , "Continuous operation", , 
"US-xSR", "79762", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170920", , "Continuous operation", , 
"US-xSR", "79765", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20170920", , "Continuous operation", , 
"US-xSR", "79776", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20170920", , "Continuous operation", , 
"US-xST", "86340", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20170906", , "Continuous operation", , 
"US-xST", "86341", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170906", , "Continuous operation", , 
"US-xST", "86349", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20170906", , "Continuous operation", , 
"US-xTA", "86357", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170911", , "Continuous operation", , 
"US-xTA", "86361", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170911", , "Continuous operation", , 
"US-xTA", "86363", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170911", , "Continuous operation", , 
"US-xTE", "86297", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180803", , "Continuous operation", , 
"US-xTE", "86301", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180803", , "Continuous operation", , 
"US-xTE", "86310", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20180803", , "Continuous operation", , 
"US-xTL", "86210", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170907", , "Continuous operation", , 
"US-xTL", "86221", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170907", , "Continuous operation", , 
"US-xTL", "86227", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170907", , "Continuous operation", , 
"US-xTR", "86429", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170815", , "Continuous operation", , 
"US-xTR", "86430", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170815", , "Continuous operation", , 
"US-xTR", "86438", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170815", , "Continuous operation", , 
"US-xUK", "86132", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170815", , "Continuous operation", , 
"US-xUK", "86136", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170815", , "Continuous operation", , 
"US-xUK", "86137", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170815", , "Continuous operation", , 
"US-xUN", "79741", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "CO2", "20170216", , "Continuous operation", , 
"US-xUN", "79744", "GRP_FLUX_MEASUREMENTS", "Eddy covariance", "H2O", "20170216", , "Continuous operation", , 
"US-xUN", "79752", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170216", , "Continuous operation", , 
"US-xWD", "79291", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20170920", , "Continuous operation", , 
"US-xWD", "79292", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20170920", , "Continuous operation", , 
"US-xWD", "79293", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20170920", , "Continuous operation", , 
"US-xWR", "86083", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20180711", , "Continuous operation", , 
"US-xWR", "86095", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20180711", , "Continuous operation", , 
"US-xWR", "86100", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20180711", , "Continuous operation", , 
"US-xYE", "86108", "GRP_FLUX_MEASUREMENTS", "Other", "Isotopes", "20181019", , "Continuous operation", , 
"US-xYE", "86118", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20181019", , "Continuous operation", , 
"US-xYE", "86122", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20181019", , "Continuous operation", , 
"US-Ylw", "30901", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "2007", "2013", "Continuous operation", , 
